age,education,gender,vision_impairment,stimulusName,rationale,stimulusOrder,designName,designCost,rank,designOrder,userKey,compTime,tunedCost,excluded
45-54,"Some college, no degree",Female,no,Stimulus 4,"I thought the 1st was much more smooth and pleasing to watch.  There is ""jump"" to the finished product.  The worst one I did not like the way it went to the circles before filling in.  It seemed clunky and was harder to follow the progress.  The 1st seemed as if we were watching as the calculations progress, and the last one just ""jumped"" from one image to the next in an almost startling way. ",0,stage1-rank1,1.01439,2,2,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,272106,0.39096,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 4,"I thought the 1st was much more smooth and pleasing to watch.  There is ""jump"" to the finished product.  The worst one I did not like the way it went to the circles before filling in.  It seemed clunky and was harder to follow the progress.  The 1st seemed as if we were watching as the calculations progress, and the last one just ""jumped"" from one image to the next in an almost startling way. ",0,stage2-rank1,0.74426,5,0,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,272106,0.92981,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 4,"I thought the 1st was much more smooth and pleasing to watch.  There is ""jump"" to the finished product.  The worst one I did not like the way it went to the circles before filling in.  It seemed clunky and was harder to follow the progress.  The 1st seemed as if we were watching as the calculations progress, and the last one just ""jumped"" from one image to the next in an almost startling way. ",0,stage2-rank2,1.11565,3,3,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,272106,1.25487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 4,"I thought the 1st was much more smooth and pleasing to watch.  There is ""jump"" to the finished product.  The worst one I did not like the way it went to the circles before filling in.  It seemed clunky and was harder to follow the progress.  The 1st seemed as if we were watching as the calculations progress, and the last one just ""jumped"" from one image to the next in an almost startling way. ",0,stage2-rank3,1.64426,1,1,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,272106,1.52981,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 4,"I thought the 1st was much more smooth and pleasing to watch.  There is ""jump"" to the finished product.  The worst one I did not like the way it went to the circles before filling in.  It seemed clunky and was harder to follow the progress.  The 1st seemed as if we were watching as the calculations progress, and the last one just ""jumped"" from one image to the next in an almost startling way. ",0,stage3-rank1,0.87229,4,4,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,272106,1.29883,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 2,"The best animation was smooth and pleasing to watch.  There were no gaps in the picture and it seemed as if the chart came alive.  I did not care for the graphs where the picture shrank then expanded out like the worst one.  I prefer to see it grow with the picture, not be squelched like that.  ",1,stage1-rank1,0.11439,2,3,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,202037,0,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 2,"The best animation was smooth and pleasing to watch.  There were no gaps in the picture and it seemed as if the chart came alive.  I did not care for the graphs where the picture shrank then expanded out like the worst one.  I prefer to see it grow with the picture, not be squelched like that.  ",1,stage2-rank1,0,5,4,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,202037,0.15487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 2,"The best animation was smooth and pleasing to watch.  There were no gaps in the picture and it seemed as if the chart came alive.  I did not care for the graphs where the picture shrank then expanded out like the worst one.  I prefer to see it grow with the picture, not be squelched like that.  ",1,stage2-rank2,0.41565,3,2,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,202037,0.85487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 2,"The best animation was smooth and pleasing to watch.  There were no gaps in the picture and it seemed as if the chart came alive.  I did not care for the graphs where the picture shrank then expanded out like the worst one.  I prefer to see it grow with the picture, not be squelched like that.  ",1,stage2-rank3,0.91565,1,0,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,202037,1.35487,FALSE
45-54,"Some college, no degree",Female,no,Stimulus 2,"The best animation was smooth and pleasing to watch.  There were no gaps in the picture and it seemed as if the chart came alive.  I did not care for the graphs where the picture shrank then expanded out like the worst one.  I prefer to see it grow with the picture, not be squelched like that.  ",1,stage3-rank1,0,4,1,0dvq6ZeXIXUp05IYtGYcJeHAZGJ2,202037,0.69883,FALSE
